Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	106	15	121	10201.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	60	14	75	90000.0
