10	190	562
20	375	3127
30	560	9192
40	745	20257
50	930	37822
60	1115	63387
70	1300	98452
80	1485	144517
90	1670	203082
100	1855	275647
110	2040	363712
120	2225	468777
130	2410	592342
140	2595	735907
150	2780	900972
160	2965	1089037
170	3150	1301602
180	3335	1540167
190	3520	1806232
200	3705	2101297
210	3890	2426862
220	4075	2784427
230	4260	3175492
240	4445	3601557
250	4630	4064122
260	4815	4564687
270	5000	5104752
280	5185	5685817
290	5370	6309382
300	5555	6976947
