100	2.216	12.186	15.501923558
200	3.523	90.845	30.07480876
300	5.259	400.826	44.075764033
400	9.942	1127.912	50.120924878
500	12.165	2772.222	68.013818916
600	14.827	-	82.642609441
700	16.56	-	96.639256645
800	17.65	-	128.027949474
